time (s),temperature (C)
96.3,17.84
96.4,18.05
96.5,17.9
96.61,18.02
96.71,18.06
96.81,17.91
96.91,17.93
97.02,17.98
97.12,17.92
97.22,18.06
97.32,17.97
97.43,17.94
97.53,17.96
97.63,18.08
97.73,18.0
97.84,18.01
97.94,18.07
98.04,18.07
98.14,18.13
98.25,18.07
98.35,18.01
98.45,18.1
98.55,18.19
98.66,18.02
98.76,18.08
98.86,18.06
98.96,18.06
99.07,18.13
99.17,18.08
99.27,18.1
99.37,17.93
99.48,18.12
99.58,18.33
99.68,18.08
99.78,18.19
99.89,18.13
99.99,18.17
100.09,18.17
100.19,18.14
100.3,18.11
100.4,18.14
100.5,18.21
100.6,18.24
100.71,18.1
100.81,18.08
100.91,18.27
101.01,18.1
101.12,18.27
101.22,18.28
101.32,18.2
101.42,18.38
101.53,18.19
101.63,18.22
101.73,18.21
101.83,18.09
101.94,18.21
102.04,18.54
102.14,18.2
102.24,18.26
102.35,17.96
102.45,18.24
102.55,18.18
102.65,18.27
102.76,18.16
102.86,18.24
102.96,18.26
103.06,18.2
103.17,18.28
103.27,17.9
103.37,18.14
103.47,18.19
103.58,18.2
103.68,18.12
103.78,18.08
103.88,18.2
103.99,18.04
104.09,18.08
104.19,17.81
104.29,17.97
104.4,18.03
104.5,18.02
104.6,18.05
104.71,17.87
104.81,18.08
104.91,17.96
105.01,17.99
105.11,18.02
105.22,17.9
105.32,17.86
105.42,17.87
105.53,17.8
105.63,17.8
105.73,17.94
105.83,17.95
105.93,17.71
106.04,17.92
106.14,17.66
106.24,17.82
106.35,17.77
106.45,17.77
106.55,17.9
106.65,17.98
106.76,17.82
106.86,17.65
106.96,18.06
107.06,17.71
107.17,17.81
107.27,17.75
107.37,17.83
107.47,17.73
107.58,17.72
107.68,17.75
107.78,17.74
107.88,17.72
107.99,17.71
108.09,17.71
108.19,17.77
108.29,17.89
108.4,17.74
108.5,17.81
108.6,17.73
108.7,17.74
108.81,17.9
108.91,17.77
109.01,17.67
109.11,17.84
109.22,17.76
109.32,17.73
109.42,17.87
109.52,17.93
109.63,17.96
109.73,17.73
109.83,17.76
109.93,17.87
110.04,17.87
110.14,17.78
110.24,17.71
110.34,17.67
110.45,17.65
110.55,17.79
110.65,17.9
110.75,17.77
110.86,17.92
110.96,17.97
111.06,17.93
111.16,17.77
