time (s),temperature (C)
310.25,15.59
310.56,15.53
310.86,15.58
311.16,15.5
311.46,15.57
311.77,15.7
312.07,15.39
312.37,15.47
312.67,15.49
312.98,15.37
313.28,15.6
313.58,15.2
313.88,15.32
314.19,15.6
314.49,15.32
314.79,15.39
315.09,15.34
315.4,15.2
315.7,15.26
316.0,15.88
316.3,15.3
316.61,15.49
316.91,15.56
317.21,15.35
317.51,15.25
317.82,15.52
318.12,15.2
318.42,15.34
318.73,15.35
319.03,15.04
319.33,15.3
319.63,15.26
319.94,15.4
320.24,15.17
320.54,15.45
320.84,15.0
321.14,15.27
321.45,14.95
321.75,15.09
322.05,15.07
322.36,15.21
322.66,15.08
322.96,14.95
323.26,15.18
323.57,15.13
323.87,15.11
324.17,14.94
324.47,14.63
324.77,14.9
325.08,15.06
325.38,15.01
325.68,14.91
325.99,14.99
326.29,15.05
326.59,15.1
326.89,15.13
327.2,15.07
327.5,14.96
327.8,15.13
328.1,14.99
328.41,15.33
328.71,15.13
329.01,15.33
329.31,15.03
329.62,15.28
329.92,15.04
330.22,15.27
330.52,15.39
330.83,15.35
331.13,15.34
331.43,15.45
331.73,15.45
332.04,15.29
332.34,15.17
332.64,15.57
332.94,15.14
333.25,15.24
333.55,15.22
333.85,15.37
334.15,15.2
334.46,15.47
334.76,14.97
335.06,15.29
335.36,15.27
335.67,15.5
335.97,15.31
336.27,15.46
336.58,15.33
336.88,15.26
337.18,15.22
337.48,15.44
337.78,15.33
338.09,15.27
338.39,15.3
338.69,15.33
339.0,15.12
339.3,15.19
339.6,15.13
339.9,15.26
340.2,14.98
340.51,15.27
340.81,14.97
341.11,15.13
341.42,15.2
341.72,15.2
342.02,15.16
342.32,15.34
342.63,15.06
342.93,14.89
343.23,15.23
343.53,15.16
343.84,15.24
344.14,15.36
344.44,15.2
344.74,15.26
345.05,14.92
345.35,15.1
345.65,15.03
345.95,14.71
346.26,14.96
346.56,15.05
346.86,15.03
347.16,15.22
347.47,14.71
347.77,14.85
348.07,14.93
348.37,14.82
348.68,14.99
348.98,14.91
349.28,14.87
349.58,15.01
349.89,14.9
350.19,15.03
350.49,14.85
350.79,14.75
351.1,14.94
351.4,14.7
351.7,14.79
352.01,14.96
352.31,14.88
352.61,14.69
352.91,15.19
353.22,14.88
353.52,14.8
353.82,14.65
354.12,14.73
354.42,14.45
354.73,14.75
355.03,14.83
355.33,14.79
355.64,14.86
355.94,15.01
356.24,14.91
356.54,14.89
356.85,14.79
357.15,14.87
357.45,14.81
357.75,14.73
358.05,14.63
358.36,14.63
358.66,14.73
358.96,14.78
359.27,14.51
359.57,14.81
359.87,14.62
360.17,14.73
360.48,14.3
360.78,14.63
361.08,14.35
361.38,14.54
361.69,14.57
361.99,14.62
362.29,14.55
362.59,14.56
362.9,14.42
363.2,14.48
363.5,14.44
363.8,14.21
364.11,14.39
364.41,14.44
364.71,14.47
365.01,14.44
365.32,14.39
365.62,14.64
365.92,14.37
366.22,14.45
366.53,14.55
366.83,14.34
367.13,14.54
367.43,14.68
367.74,14.49
368.04,14.57
368.34,14.69
368.64,14.5
368.95,14.62
369.25,14.68
369.55,14.83
369.86,14.71
370.16,14.42
370.46,14.58
370.76,14.64
371.06,14.59
371.37,14.73
371.67,14.73
371.97,14.56
372.27,14.87
372.58,14.57
372.88,14.81
373.18,14.64
373.48,14.81
