time (s),temperature (C)
362.65,21.36
362.95,21.32
363.26,21.28
363.56,21.29
363.86,21.3
364.17,21.31
364.47,21.27
364.77,21.26
365.07,21.3
365.38,21.29
365.68,21.28
365.98,21.3
366.28,21.32
366.59,21.31
366.89,21.33
367.19,21.3
367.49,21.34
367.8,21.34
368.1,21.35
368.4,21.35
368.7,21.36
369.01,21.34
369.31,21.41
369.61,21.39
369.91,21.41
370.22,21.44
370.52,21.49
370.82,21.45
371.13,21.49
371.43,21.49
371.73,21.52
372.03,21.53
372.33,21.53
372.64,21.55
372.94,21.54
373.24,21.53
373.54,21.53
373.85,21.53
374.15,21.54
374.45,21.53
374.76,21.54
375.06,21.53
375.36,21.51
375.66,21.48
375.97,21.5
376.27,21.48
376.57,21.45
376.87,21.44
377.18,21.5
377.48,21.41
377.78,21.42
378.08,21.41
378.39,21.42
378.69,21.34
378.99,21.37
379.29,21.35
379.6,21.32
379.9,21.28
380.2,21.28
380.5,21.28
380.81,21.26
381.11,21.26
381.41,21.29
381.71,21.19
382.02,21.23
382.32,21.22
382.62,21.22
382.92,21.24
383.23,21.19
383.53,21.19
383.83,21.19
384.13,21.2
384.44,21.19
384.74,21.18
385.04,21.18
385.34,21.19
385.65,21.22
385.95,21.21
386.25,21.21
386.55,21.23
386.86,21.24
387.16,21.24
387.46,21.26
387.77,21.25
388.07,21.25
388.37,21.28
388.67,21.27
388.98,21.31
389.28,21.31
389.58,21.28
389.88,21.37
390.19,21.35
390.49,21.34
390.79,21.36
391.09,21.42
391.39,21.35
391.7,21.42
392.0,21.38
392.3,21.43
392.61,21.41
392.91,21.45
393.21,21.44
393.51,21.43
393.82,21.43
394.12,21.44
394.42,21.41
394.72,21.43
395.03,21.4
395.33,21.41
395.63,21.38
395.93,21.43
396.24,21.36
396.54,21.37
396.84,21.4
397.14,21.35
397.45,21.3
397.75,21.34
398.05,21.28
398.35,21.29
398.66,21.33
398.96,21.26
399.26,21.24
399.56,21.24
399.87,21.23
400.17,21.19
400.47,21.18
400.77,21.16
401.08,21.16
401.38,21.16
401.68,21.15
401.98,21.14
402.29,21.14
402.59,21.17
402.89,21.15
403.19,21.14
403.5,21.15
403.8,21.19
404.1,21.15
404.41,21.16
404.71,21.16
405.01,21.2
405.31,21.18
405.61,21.21
405.92,21.24
406.22,21.2
406.52,21.24
406.83,21.2
407.13,21.29
407.43,21.29
407.73,21.34
408.04,21.27
408.34,21.35
408.64,21.32
408.94,21.34
409.25,21.36
409.55,21.41
409.85,21.35
410.15,21.36
410.46,21.37
410.76,21.39
411.06,21.37
411.36,21.42
411.67,21.4
411.97,21.4
412.27,21.4
412.57,21.39
412.88,21.37
413.18,21.38
413.48,21.38
413.79,21.36
414.09,21.37
414.39,21.4
414.69,21.31
414.99,21.33
415.3,21.34
415.6,21.27
415.9,21.29
416.2,21.26
416.51,21.28
416.81,21.17
417.11,21.24
417.42,21.21
417.72,21.16
418.02,21.17
418.32,21.13
418.63,21.11
418.93,21.05
419.23,21.05
419.53,21.06
419.83,21.01
420.14,21.01
420.44,21.0
420.74,21.0
421.05,21.01
421.35,20.98
421.65,20.93
421.95,20.95
422.26,21.0
422.56,20.96
422.86,20.97
423.16,20.97
423.47,20.96
423.77,20.97
424.07,21.0
424.37,21.04
424.68,21.0
424.98,21.03
425.28,21.03
425.58,21.08
425.89,21.05
426.19,21.13
426.49,21.09
426.79,21.12
427.1,21.18
427.4,21.14
427.7,21.16
428.0,21.18
428.31,21.17
428.61,21.2
428.91,21.21
429.21,21.23
429.52,21.24
429.82,21.24
430.12,21.22
430.42,21.25
430.73,21.23
431.03,21.2
431.33,21.2
431.64,21.19
431.94,21.2
432.24,21.18
432.54,21.16
432.85,21.14
433.15,21.16
433.45,21.11
433.75,21.09
434.05,21.12
434.36,21.04
434.66,21.06
434.96,21.04
435.27,21.03
435.57,20.98
435.87,21.03
436.17,20.94
436.48,20.96
436.78,20.97
437.08,20.86
437.38,20.91
437.69,20.87
437.99,20.89
438.29,20.83
438.59,20.85
438.9,20.84
439.2,20.82
439.5,20.85
439.8,20.82
440.11,20.77
440.41,20.79
440.71,20.78
441.01,20.81
441.32,20.76
441.62,20.79
441.92,20.78
442.22,20.78
442.53,20.8
442.83,20.75
443.13,20.76
443.44,20.77
443.74,20.79
444.04,20.8
444.34,20.79
444.64,20.85
444.95,20.82
445.25,20.84
445.55,20.86
445.85,20.86
446.16,20.83
446.46,20.91
446.76,20.91
447.07,20.88
447.37,20.96
447.67,20.95
447.97,20.91
448.27,20.97
448.58,20.97
448.88,20.97
449.18,20.98
449.48,21.01
449.79,20.99
450.09,21.04
450.39,21.0
450.7,21.05
451.0,21.01
451.3,21.04
451.6,21.01
451.91,21.03
452.21,21.04
452.51,20.99
452.81,20.99
453.11,21.01
453.42,20.96
453.72,21.01
454.02,21.01
454.33,21.01
454.63,20.97
454.93,20.94
455.23,20.99
455.54,20.94
455.84,20.93
456.14,20.9
456.44,20.94
456.75,20.87
457.05,20.87
457.35,20.87
457.65,20.89
457.96,20.85
458.26,20.85
458.56,20.8
458.86,20.8
459.17,20.85
459.47,20.81
459.77,20.76
460.08,20.82
460.38,20.81
460.68,20.77
460.98,20.74
461.29,20.76
461.59,20.67
461.89,20.68
462.19,20.73
462.5,20.66
462.8,20.66
463.1,20.69
463.4,20.67
463.71,20.63
464.01,20.66
464.31,20.68
464.61,20.62
464.92,20.66
465.22,20.66
465.52,20.62
465.82,20.62
466.13,20.65
466.43,20.6
466.73,20.59
467.03,20.61
467.34,20.58
467.64,20.58
467.94,20.56
468.24,20.55
468.55,20.49
468.85,20.51
469.15,20.5
469.45,20.49
469.76,20.5
470.06,20.48
470.36,20.46
470.66,20.47
470.97,20.47
471.27,20.48
471.57,20.48
471.87,20.49
472.18,20.51
472.48,20.5
472.78,20.56
473.08,20.51
473.39,20.56
473.69,20.56
473.99,20.61
474.3,20.58
474.6,20.62
474.9,20.63
475.2,20.65
475.5,20.66
475.81,20.7
476.11,20.68
476.41,20.65
476.72,20.68
477.02,20.69
477.32,20.66
477.62,20.69
477.92,20.7
478.23,20.67
478.53,20.66
478.83,20.72
479.14,20.66
479.44,20.64
479.74,20.73
480.04,20.65
480.35,20.65
480.65,20.65
480.95,20.67
481.25,20.63
481.56,20.62
481.86,20.63
482.16,20.6
482.46,20.62
482.77,20.61
483.07,20.57
483.37,20.54
483.67,20.6
483.98,20.52
484.28,20.59
484.58,20.52
484.88,20.54
485.19,20.52
485.49,20.54
485.79,20.54
486.09,20.49
486.4,20.52
486.7,20.51
487.0,20.54
487.3,20.49
487.61,20.54
487.91,20.52
488.21,20.52
488.51,20.53
488.82,20.55
489.12,20.53
489.42,20.57
489.72,20.61
490.03,20.54
490.33,20.6
490.63,20.64
490.94,20.6
491.24,20.58
491.54,20.66
491.84,20.59
492.14,20.59
492.45,20.64
492.75,20.64
493.05,20.6
493.36,20.65
493.66,20.66
493.96,20.63
494.26,20.63
494.57,20.65
494.87,20.62
495.17,20.61
495.47,20.63
495.77,20.65
496.08,20.61
496.38,20.66
496.68,20.65
496.99,20.64
497.29,20.66
497.59,20.69
497.89,20.67
498.2,20.65
498.5,20.73
498.8,20.62
499.1,20.67
499.41,20.67
499.71,20.65
500.01,20.64
500.31,20.62
500.62,20.65
500.92,20.63
501.22,20.63
501.52,20.63
501.83,20.57
502.13,20.58
502.43,20.61
502.73,20.5
503.04,20.53
503.34,20.56
503.64,20.52
503.95,20.51
504.25,20.53
504.55,20.5
504.85,20.47
505.15,20.48
505.46,20.47
505.76,20.45
506.06,20.47
506.36,20.47
506.67,20.41
506.97,20.42
507.27,20.48
507.58,20.45
507.88,20.46
508.18,20.48
508.48,20.43
508.79,20.43
509.09,20.43
509.39,20.43
509.69,20.37
510.0,20.43
510.3,20.42
510.6,20.37
510.9,20.38
511.21,20.42
511.51,20.35
511.81,20.36
512.11,20.38
512.41,20.37
512.72,20.33
513.02,20.37
513.32,20.31
513.63,20.31
513.93,20.3
514.23,20.31
514.53,20.33
514.84,20.28
515.14,20.33
515.44,20.29
515.74,20.27
516.05,20.32
516.35,20.25
516.65,20.29
516.95,20.3
517.26,20.26
517.56,20.26
517.86,20.26
518.16,20.26
518.47,20.21
518.77,20.24
519.07,20.27
519.37,20.17
519.68,20.22
519.98,20.23
520.28,20.2
520.59,20.18
520.89,20.2
521.19,20.17
521.49,20.13
521.79,20.16
522.1,20.19
522.4,20.13
522.7,20.17
523.01,20.15
523.31,20.12
523.61,20.16
523.91,20.14
524.22,20.11
524.52,20.09
524.82,20.1
525.12,20.09
525.42,20.03
525.73,20.13
526.03,20.08
526.33,20.08
526.64,20.06
526.94,20.07
527.24,20.06
527.54,20.02
527.85,20.09
